          total   stress  (Ry/bohr**3)                   (kbar)     P=      -14.44
  -0.00007721  -0.00011562  -0.00009605          -11.36      -17.01      -14.13
  -0.00011562  -0.00009809  -0.00007661          -17.01      -14.43      -11.27
  -0.00009605  -0.00007661  -0.00011928          -14.13      -11.27      -17.55
