          total   stress  (Ry/bohr**3)                   (kbar)     P=       33.12
   0.00018370   0.00024137   0.00020229           27.02       35.51       29.76
   0.00024137   0.00022560   0.00016270           35.51       33.19       23.93
   0.00020229   0.00016270   0.00026622           29.76       23.93       39.16
