          total   stress  (Ry/bohr**3)                   (kbar)     P=      -28.41
  -0.00015104  -0.00022774  -0.00018857          -22.22      -33.50      -27.74
  -0.00022774  -0.00019270  -0.00014992          -33.50      -28.35      -22.05
  -0.00018857  -0.00014992  -0.00023559          -27.74      -22.05      -34.66
