          total   stress  (Ry/bohr**3)                   (kbar)     P=       41.90
   0.00023315   0.00030375   0.00025491           34.30       44.68       37.50
   0.00030375   0.00028552   0.00020527           44.68       42.00       30.20
   0.00025491   0.00020527   0.00033589           37.50       30.20       49.41
