          total   stress  (Ry/bohr**3)                   (kbar)     P=       24.59
   0.00013599   0.00017979   0.00015048           20.00       26.45       22.14
   0.00017979   0.00016741   0.00012088           26.45       24.63       17.78
   0.00015048   0.00012088   0.00019812           22.14       17.78       29.14
