          total   stress  (Ry/bohr**3)                   (kbar)     P=      -35.04
  -0.00018558  -0.00028245  -0.00023348          -27.30      -41.55      -34.35
  -0.00028245  -0.00023757  -0.00018530          -41.55      -34.95      -27.26
  -0.00023348  -0.00018530  -0.00029148          -34.35      -27.26      -42.88
