# Max. eta    SUM(Cij) 
#

# 6th order fit.
 0.0500000000        2878.395006
 0.0400000000        2878.338394
 0.0300000000        2878.029066

# 4th order fit.
 0.0500000000        2878.555187
 0.0400000000        2878.462228
 0.0300000000        2878.380475
 0.0200000000        2878.063726

# 2nd order fit.
 0.0500000000        2916.746144
 0.0400000000        2903.616318
 0.0300000000        2893.052391
 0.0200000000        2885.049275
 0.0100000000        2879.299284
