# Max. eta    SUM(Cij) 
#

# 6th order fit.
 0.0500000000        1024.951878
 0.0400000000        1025.117644
 0.0300000000        1023.953658

# 4th order fit.
 0.0500000000        1024.923302
 0.0400000000        1024.928859
 0.0300000000        1025.092696
 0.0200000000        1024.069937

# 2nd order fit.
 0.0500000000        1042.396446
 0.0400000000        1036.367413
 0.0300000000        1031.524629
 0.0200000000        1027.987444
 0.0100000000        1024.677238
