          total   stress  (Ry/bohr**3)                   (kbar)     P=        8.26
   0.00004571   0.00005910   0.00004932            6.72        8.69        7.26
   0.00005910   0.00005618   0.00003951            8.69        8.26        5.81
   0.00004932   0.00003951   0.00006656            7.26        5.81        9.79
