          total   stress  (Ry/bohr**3)                   (kbar)     P=        0.33
   0.00000239  -0.00000107  -0.00000090            0.35       -0.16       -0.13
  -0.00000107   0.00000222  -0.00000072           -0.16        0.33       -0.11
  -0.00000090  -0.00000072   0.00000204           -0.13       -0.11        0.30
