          total   stress  (Ry/bohr**3)                   (kbar)     P=       -7.11
  -0.00003788  -0.00005824  -0.00004846           -5.57       -8.57       -7.13
  -0.00005824  -0.00004833  -0.00003871           -8.57       -7.11       -5.69
  -0.00004846  -0.00003871  -0.00005885           -7.13       -5.69       -8.66
